year,course,enrolment_F,enrolment_MF,graduates_F,graduates_MF,intake_F,intake_MF,intake_rate_F,intake_rate_MF,intake_men,enrolment_men,graduates_men,intake_rate_men
2011,Education,1301,1752,303,406,293.0,397.0,22.521137586471944,22.659817351598175,104.0,451,103,23.059866962305986
2011,Engineering Sciences,4598,15624,1119,3891,1241.0,4248.0,26.989995650282733,27.1889400921659,3007.0,11026,2772,27.27190277525848
2011,Fine & Applied Arts,640,1179,132,216,180.0,347.0,28.125,29.431721798134014,167.0,539,84,30.98330241187384
2011,Health Sciences,820,1139,213,255,264.0,347.0,32.19512195121951,30.465320456540827,83.0,319,42,26.018808777429467
2011,Humanities & Social Sciences,6447,9689,1772,2480,1660.0,2453.0,25.74841011323096,25.317370213644338,793.0,3242,708,24.46020974706971
2011,Information Technology,1178,3643,195,583,364.0,1057.0,30.899830220713074,29.01454844908043,693.0,2465,388,28.113590263691684
2011,Law,742,1448,208,329,172.0,364.0,23.18059299191375,25.138121546961326,192.0,706,121,27.195467422096318
2011,Mass Communication,490,673,133,174,135.0,174.0,27.551020408163264,25.85438335809807,39.0,183,41,21.311475409836067
2011,Medicine,647,1328,119,255,148.0,280.0,22.874806800618238,21.08433734939759,132.0,681,136,19.383259911894275
2011,"Natural, Physical & Mathematical Sciences",4482,7822,1217,1836,1335.0,2252.0,29.785809906291835,28.790590641779595,917.0,3340,619,27.45508982035928
2011,Services,575,827,50,74,269.0,387.0,46.78260869565217,46.7956469165659,118.0,252,24,46.82539682539682
2012,Accountancy,2316,4001,589,1036,682.0,1213.0,29.447322970639032,30.31742064483879,531.0,1685,447,31.513353115727003
2012,"Architecture, Building & Real Estate",1119,1829,241,396,216.0,395.0,19.302949061662197,21.596500820120283,179.0,710,155,25.211267605633804
2012,Business & Administration,3368,6073,825,1397,989.0,1732.0,29.3646080760095,28.51967726000329,743.0,2705,572,27.46765249537893
2012,Dentistry,120,201,21,42,30.0,53.0,25.0,26.3681592039801,23.0,81,21,28.395061728395063
2012,Education,1130,1538,503,614,344.0,417.0,30.442477876106196,27.113133940182056,73.0,408,111,17.892156862745097
2012,Engineering Sciences,4785,16185,1119,3727,1344.0,4436.0,28.087774294670847,27.40809391411801,3092.0,11400,2608,27.12280701754386
2012,Fine & Applied Arts,761,1347,149,257,270.0,436.0,35.4796320630749,32.36822568671121,166.0,586,108,28.32764505119454
2012,Health Sciences,948,1293,218,279,359.0,447.0,37.869198312236286,34.5707656612529,88.0,345,61,25.507246376811594
2012,Humanities & Social Sciences,6760,10087,1494,2231,1758.0,2596.0,26.005917159763314,25.736095965103598,838.0,3327,737,25.187856928163512
2012,Information Technology,1236,3853,280,764,354.0,1028.0,28.640776699029125,26.68050869452375,674.0,2617,484,25.754680932365304
2012,Law,717,1474,207,347,191.0,374.0,26.638772663877266,25.37313432835821,183.0,757,140,24.17437252311757
2012,Mass Communication,494,678,133,170,143.0,180.0,28.94736842105263,26.548672566371682,37.0,184,37,20.108695652173914
2012,Medicine,679,1374,123,252,157.0,300.0,23.12223858615611,21.83406113537118,143.0,695,129,20.575539568345324
2012,"Natural, Physical & Mathematical Sciences",4625,7883,1074,1911,1382.0,2244.0,29.88108108108108,28.466319928961056,862.0,3258,837,26.45794966236955
2012,Services,702,1047,135,189,221.0,348.0,31.48148148148148,33.2378223495702,127.0,345,54,36.81159420289855
2013,Accountancy,2274,4042,688,1087,679.0,1185.0,29.859278803869834,29.317169717961406,506.0,1768,399,28.619909502262445
2013,"Architecture, Building & Real Estate",1123,1883,258,401,222.0,404.0,19.768477292965272,21.455124800849706,182.0,760,143,23.94736842105263
2013,Business & Administration,3406,6188,897,1590,977.0,1780.0,28.684674104521434,28.76535229476406,803.0,2782,693,28.86412652767793
2013,Dentistry,124,207,27,48,31.0,54.0,25.0,26.08695652173913,23.0,83,21,27.710843373493976
2013,Education,975,1282,402,565,246.0,314.0,25.23076923076923,24.492979719188767,68.0,307,163,22.149837133550488
2013,Engineering Sciences,4893,16187,1242,4312,1482.0,4733.0,30.288166768853465,29.23951318959659,3251.0,11294,3070,28.785195679121657
2013,Fine & Applied Arts,864,1492,152,290,271.0,471.0,31.36574074074074,31.568364611260055,200.0,628,138,31.84713375796178
